Location,Latitude,Longitude,RainTomorrow,Count
Adelaide,-34.9284989,138.6007456,625,2740
Albury,-36.0737293,146.9135418,527,2440
AliceSprings,-23.698042,133.8807471,227,2744
BadgerysCreek,-33.8828765,150.7608502,465,2334
Ballarat,-37.5621587,143.8502556,745,2854
Bendigo,-36.7570157,144.2793906,515,2713
Brisbane,-27.4697707,153.0251235,662,3020
Cairns,-16.9185514,145.7780548,910,2899
Canberra,-35.2809368,149.1300092,503,2725
Cobar,-31.495761,145.8388597,359,2804
CoffsHarbour,-30.298612,153.1093922,748,2529
Dartmoor,-37.9143894,141.2730001,770,2294
Darwin,-12.4634403,130.8456418,817,3117
GoldCoast,-28.016667,153.4,733,2821
Hobart,-42.8821377,147.3271949,739,3089
Katherine,-14.4521139,132.2715145,102,670
Launceston,-41.4332215,147.1440875,369,1538
Melbourne,-37.8136276,144.9630576,521,2233
MelbourneAirport,-37.6690123,144.8410273,638,2934
Mildura,-34.2080167,142.1245535,315,2897
Moree,-29.465833,149.833889,336,2629
MountGambier,-37.8284212,140.7803529,876,2886
Nhil,-36.3327981,141.6503461,236,1518
NorahHead,-33.2833,151.5667,774,2785
NorfolkIsland,-29.040835,167.954712,883,2864
Nuriootpa,-34.4666111,138.9916574,550,2790
PearceRAAF,-31.6675838,116.0292429,398,2458
Perth,-31.9505269,115.8604572,618,3037
PerthAirport,-31.9385476,115.9672492,556,2923
Portland,-38.360895,141.6041155,1031,2820
Richmond,-37.823,144.998,424,2048
Sale,-38.1026004,147.073027,571,2735
Sydney,-33.8688197,151.2092955,590,2259
SydneyAirport,-33.9399228,151.1752764,747,2929
Townsville,-19.2589635,146.8169483,491,2884
Tuggeranong,-35.4244,149.0888,429,2316
Uluru,-25.3444277,131.0368822,110,1446
WaggaWagga,-35.1081689,147.3598323,508,2800
Walpole,-34.9758607,116.7331553,864,2502
Watsonia,-37.708,145.083,685,2735
Williamtown,-32.815,151.842778,512,2195
Witchcliffe,-34.0168479,115.0973175,689,2318
Wollongong,-34.4278121,150.8930607,658,2767
Woomera,-31.1656389,136.8192607,193,2886
